,Name,Rating,Review_Count,Price,Street_Address,Zip_Code,Lat,Long,URL,Category
42,Momo Delight,4.5,9,$,74 st Roosevelt Ave,11372.0,40.8080586,-73.9640084,https://www.yelp.com/biz/momo-delight-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
43,59th & 60th Street Cart,4.5,7,$,59th & 60th St,11220.0,40.6374734,-74.0074896,https://www.yelp.com/biz/59th-and-60th-street-cart-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
44,King Food / Halal Food,4.5,7,$,339 Adams St,11201.0,40.693262059232296,-73.988677573279,https://www.yelp.com/biz/king-food-halal-food-downtown-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
45,Rafiqi's Halal Cart,4.0,14,$,41ST And Park Ave,10168.0,40.7515106,-73.97827149999998,https://www.yelp.com/biz/rafiqis-halal-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
46,Monsieur Singh Lassi,4.5,6,$$,"New York, NY",,40.71455,-74.00714,https://www.yelp.com/biz/monsieur-singh-lassi-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
47,Chestnut King,5.0,4,$$,41-40 Main St,11355.0,40.757,-73.82933,https://www.yelp.com/biz/chestnut-king-flushing?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
48,Nathan's Famous,3.5,17,$$,5th Ave & Central Park S,10022.0,40.76445,-73.97298,https://www.yelp.com/biz/nathans-famous-new-york-9?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
49,Churro & Elote/Esquite Cart,4.5,3,$,83 St & Roosevelt Ave,11372.0,40.7477297633886,-73.8830003142357,https://www.yelp.com/biz/churro-and-elote-esquite-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
50,The Casbah - Halal Cart,4.5,262,$,66th St & Columbus Ave,10023.0,40.773737186292,-73.9817136526108,https://www.yelp.com/biz/the-casbah-halal-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
51,Yummy Yummy In My Tummy,5.0,32,No data found,467 Union Ave,11211.0,40.7147283802955,-73.9517624303699,https://www.yelp.com/biz/yummy-yummy-in-my-tummy-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
